INSERT INTO `users`(`name`, `image`, `email`, `password`, `phone`, `address`, `age`, `sex`, `status`, `code`) 

VALUES

('Ram Prasad', 'default.jpg', 'ramprasad@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Lamond Bielli', 'default.jpg', 'TheHushedGamer@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Melodee Kalt', 'default.jpg', 'Third@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Mac Shady', 'default.jpg', 'Big@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Cassy Denne', 'default.jpg', 'Hulking@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Ingrim Zografou', 'default.jpg', 'Screeching@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Emogene Throop', 'default.jpg', 'Moaning@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Lukas Alisi', 'default.jpg', 'Thankful@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Melanie Whitney', 'default.jpg', 'Typical@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Tremain Padmore', 'default.jpg', 'Conscious@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Shawna Henebury', 'default.jpg', 'Succinct@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Gustave Boise', 'default.jpg', 'Grumpy@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Juliann Cormier', 'default.jpg', 'Waggish@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Rodd Dombroski', 'default.jpg', 'Little@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Tana Rhode', 'default.jpg', 'Telling@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Beulah Sussman', 'default.jpg', 'Obtainable@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Merwin Nykrog', 'default.jpg', 'Coherent@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Don Lyou', 'default.jpg', 'Red@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Sabina Chua', 'default.jpg', 'Marked@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Wash Farewell', 'default.jpg', 'Steady@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Katine Svedrofsky', 'default.jpg', 'Squeamish@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Tatiana Vancil', 'default.jpg', 'Famous@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Hillery Leacock', 'default.jpg', 'Tedious@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Nathan Mason', 'default.jpg', 'Truthful@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
('Sherri Fargo', 'default.jpg', 'Sincere@email.com', '$2y$10$YN6uuMRmOBsIQfxQa.3OEeEoL4a5fKme3eEPYQWQTiUJmOV1MSD9W', '9845454545', 'Chwok','2019-10-12','male','verified','code'),
